Synonym;Kategorie;Gate;Gate-aktiv-bei;Basis;Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
CV1;kessel;D4;1;;Verbraucher am Kessel;BITFIELD;3;;rw;23963;23964;1;;;;;;;;;;;;;;;;;;;;;;;;;
CV1a;kessel;D4;1;;Verbraucher am Kessel;BITFIELD;3;;rw;23965;23966;1;;;;;;;;;;;;;;;;;;;;;;;;;
CV3;zentralpuffer;C2;1,2,3,4,5;;Verbraucher am Zentralpuffer;BITFIELD;3;;rw;23959;23960;1;;;;;;;;;;;;;;;;;;;;;;;;;
CV3a;zentralpuffer;C2;1,2,3,4,5;;Verbraucher am Zentralpuffer;BITFIELD;3;;rw;23961;23962;1;;;;;;;;;;;;;;;;;;;;;;;;;
CV5;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Verbraucher am Zusatzpuffer HKM1;BITFIELD;3;;rw;23951;23952;1;;;;;;;;;;;;;;;;;;;;;;;;;
CV5a;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Verbraucher am Zusatzpuffer HKM1;BITFIELD;3;;rw;23953;23954;1;;;;;;;;;;;;;;;;;;;;;;;;;
CV6;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Verbraucher am Zusatzpuffer HKM2;BITFIELD;3;;rw;23955;23956;1;;;;;;;;;;;;;;;;;;;;;;;;;
CV6a;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Verbraucher am Zusatzpuffer HKM2;BITFIELD;3;;rw;23957;23958;1;;;;;;;;;;;;;;;;;;;;;;;;;
D1;system;;;;Betriebsart;WAHL;3;;rw;21651;21652;1;;;;;Handbefüllung;"Saugen + Schnecke
(RAS)";Direktschnecke (RAD);Punktabsaugung;"Schnecke +
Behälter";"Maulwurf Schellinger
Classic";"Maulwurf Schellinger
E3";;;;;;;;;;;;;;
D1a;umschalteinheit;;;;Umschalteinheit Umschalteinheit;WAHL;3;;rw;21652;21653;1;;;;;Nicht vorhanden;2-fach;3-fach;4-fach;6-fach;8-fach;;;;;;;;;;;;;;;
D1b;umschalteinheit;D1a;1,2,3,4,5;;Umschalteinheit Positionswechsel nach:;INT;3;;rw;21653;21654;1;Tage;0;990;1;;;;;;;;;;;;;;;;;;;;;
D1c;system;;;;Handbefüllung;WAHL;3;;rw;21867;21868;1;;;;;"mit
Füllstandsüberwachung";"ohne
Füllstandsüberwachung";;;;;;;;;;;;;;;;;;;
D1d;umschalteinheit;D1a;1,2,3,4,5;;Umschalteinheit Umschalteinheit;WAHL;3;;rw;21787;21788;1;;;;;Belimo (AUE);Schrittmotor (AUP);;;;;;;;;;;;;;;;;;;
D1e;kessel;D4;1;;Erster Saugvorgang nach Lagerraum füllen;WAHL;3;;rw;21788;21789;1;;;;;aktuelle Position;Position 1;;;;;;;;;;;;;;;;;;;
D1f;system;;;;Verbrauchsanzeige;WAHL;3;;rw;21595;21596;1;;;;;Nicht vorhanden;Vorhanden;;;;;;;;;;;;;;;;;;;
D1g;system;;;;Raumluftunabhängiger Betrieb;WAHL;3;;rw;21868;21869;1;;;;;Aus;Ein;;;;;;;;;;;;;;;;;;;
D1h;system;;;;HKM 1 Anzeige HKM-Ansicht;BITFIELD;3;;rw;21215;21216;1;;;;;;;;;;;;;;;;;;;;;;;;;
D1ha;system;;;;HKM 1 Anzeige HKM-Ansicht;BITFIELD;3;;rw;23974;23975;1;;;;;;;;;;;;;;;;;;;;;;;;;
D1i;system;;;;HKM 2 Anzeige HKM-Ansicht;BITFIELD;3;;rw;21217;21218;1;;;;;;;;;;;;;;;;;;;;;;;;;
